Nombre,Nota1,Nota2,Nota3
Alumno398,4,0,3
Alumno399,2,2,1
Alumno400,4,1,0
Alumno401,4,4,3
Alumno402,3,4,4
Alumno403,4,3,1
Alumno404,4,4,0
Alumno405,4,3,0
Alumno406,3,1,3
Alumno407,1,0,0
Alumno408,0,2,2
Alumno409,2,1,4
Alumno410,0,3,3
Alumno411,4,3,4
Alumno412,3,4,1
Alumno413,3,4,4
Alumno414,4,2,1
Alumno415,4,3,3
Alumno416,4,0,1
Alumno417,1,2,4
Alumno418,3,1,3
Alumno419,0,3,1
Alumno420,4,3,1
Alumno421,4,3,4
Alumno422,4,4,0
Alumno423,1,0,1
Alumno424,3,4,3
Alumno425,4,4,1
Alumno426,4,2,4
Alumno427,1,1,0
Alumno428,4,2,3
Alumno429,4,2,0
Alumno430,3,1,2
Alumno431,4,3,2
Alumno432,1,4,3
Alumno433,4,2,0
Alumno434,3,0,1
Alumno435,1,3,0
Alumno436,1,2,1
Alumno437,2,3,4
Alumno438,2,1,3
Alumno439,1,2,3
Alumno440,4,2,4
Alumno441,1,1,1
Alumno442,1,3,0
Alumno443,3,2,0
Alumno444,2,3,4
Alumno445,1,1,2
Alumno446,1,0,3
Alumno447,0,2,4
Alumno448,1,3,0
Alumno449,4,2,0
Alumno450,2,0,2
Alumno451,0,0,0
Alumno452,3,1,1
Alumno453,0,3,1
Alumno454,4,4,1
Alumno455,4,3,4
Alumno456,1,1,3
Alumno457,3,3,2
Alumno458,3,3,4
Alumno459,1,1,1
Alumno460,3,4,3
Alumno461,2,3,1
Alumno462,4,2,2
Alumno463,4,0,1
Alumno464,3,3,3
Alumno465,1,4,4
Alumno466,0,4,3
Alumno467,0,3,0
Alumno468,3,4,3
Alumno469,4,1,2
Alumno470,1,0,4
Alumno471,2,3,1
Alumno472,0,0,1
Alumno473,3,1,3
Alumno474,1,3,4
Alumno475,0,2,0
Alumno476,4,1,3
Alumno477,3,3,1
Alumno478,1,3,3
Alumno479,4,2,3
Alumno480,1,4,2
Alumno481,2,0,1
Alumno482,3,2,0
Alumno483,1,4,2
Alumno484,2,2,1
Alumno485,3,1,4
Alumno486,2,1,1
Alumno487,2,3,0
Alumno488,2,2,1
Alumno489,4,0,0
Alumno490,2,4,1
Alumno491,3,4,0
Alumno492,2,2,0
Alumno493,4,4,2
Alumno494,3,2,4
Alumno495,1,0,0
Alumno496,4,4,1
Alumno497,0,0,3
Alumno498,4,0,4
Alumno499,4,2,4
Alumno500,4,4,2
Alumno501,4,2,1
Alumno502,4,2,2
Alumno503,3,4,0
Alumno504,2,0,2
Alumno505,4,3,3
Alumno506,0,3,3
Alumno507,2,2,2
Alumno508,4,4,2
Alumno509,4,4,0
Alumno510,3,2,3
Alumno511,3,4,3
Alumno512,3,4,1
Alumno513,0,2,1
Alumno514,1,4,2
Alumno515,4,3,0
Alumno516,0,4,4
Alumno517,3,0,3
Alumno518,1,3,4
Alumno519,2,3,2
Alumno520,2,4,1
Alumno521,0,1,0
Alumno522,3,3,0
Alumno523,2,1,3
Alumno524,4,1,3
Alumno525,4,0,1
Alumno526,2,4,2
Alumno527,2,1,4
Alumno528,4,4,1
Alumno529,1,4,4
Alumno530,4,3,1
Alumno531,1,0,1
Alumno532,0,0,2
Alumno533,0,4,2
Alumno534,1,2,4
Alumno535,0,3,4
Alumno536,1,1,4
Alumno537,1,0,0
Alumno538,2,4,3
Alumno539,4,4,1
Alumno540,3,4,1
Alumno541,1,4,3
Alumno542,1,0,3
Alumno543,0,2,2
Alumno544,0,0,3
Alumno545,3,3,2
Alumno546,3,2,4
Alumno547,0,2,3
Alumno548,2,1,3
Alumno549,4,3,4
Alumno550,0,3,0
Alumno551,2,2,1
Alumno552,4,2,2
Alumno553,2,0,3
Alumno554,3,2,3
Alumno555,0,0,4
Alumno556,3,1,0
Alumno557,2,3,2
Alumno558,0,4,1
Alumno559,4,4,3
Alumno560,2,0,3
Alumno561,0,0,3
Alumno562,2,2,4
Alumno563,2,1,0
Alumno564,4,1,1
Alumno565,3,1,2
Alumno566,1,3,0
Alumno567,1,3,2
Alumno568,3,0,3
Alumno569,3,2,3
Alumno570,1,4,1
Alumno571,2,0,1
Alumno572,0,0,2
Alumno573,4,2,3
Alumno574,1,0,0
Alumno575,2,0,2
Alumno576,1,0,0
Alumno577,2,1,3
Alumno578,3,2,2
Alumno579,3,4,4
Alumno580,3,0,2
Alumno581,3,1,1
Alumno582,3,1,3
Alumno583,0,4,0
Alumno584,3,4,2
Alumno585,2,1,3
Alumno586,3,1,0
Alumno587,1,1,4
Alumno588,2,2,2
Alumno589,0,1,0
Alumno590,2,1,3
Alumno591,3,1,3
Alumno592,2,3,4
Alumno593,2,2,1
Alumno594,1,1,2
Alumno595,4,4,1
Alumno596,3,4,3
Alumno597,4,4,2
Alumno598,3,1,4
Alumno599,2,0,1
Alumno600,2,2,1
Alumno601,3,1,0
Alumno602,0,0,2
Alumno603,1,0,2
Alumno604,3,3,4
Alumno605,0,3,1
Alumno606,0,0,4
Alumno607,0,1,2
Alumno608,0,0,2
Alumno609,0,4,4
Alumno610,3,1,3
Alumno611,0,1,0
Alumno612,4,2,4
Alumno613,0,3,4
Alumno614,0,0,1
Alumno615,3,3,1
Alumno616,0,1,2
Alumno617,1,4,4
Alumno618,2,2,1
Alumno619,1,1,4
Alumno620,4,2,2
Alumno621,0,4,1
Alumno622,1,4,1
Alumno623,4,3,3
Alumno624,2,0,1
Alumno625,4,4,3
Alumno626,3,1,1
Alumno627,3,4,4
Alumno628,3,4,2
Alumno629,4,2,0
Alumno630,2,3,0
Alumno631,0,1,4
Alumno632,0,0,2
Alumno633,0,2,4
Alumno634,2,1,4
Alumno635,1,0,1
Alumno636,0,1,0
Alumno637,2,0,4
Alumno638,1,4,4
Alumno639,4,2,2
Alumno640,2,2,4
Alumno641,2,2,3
Alumno642,3,1,2
Alumno643,3,2,2
Alumno644,0,1,4
Alumno645,2,2,1
Alumno646,4,3,1
Alumno647,3,0,0
Alumno648,0,0,1
Alumno649,3,1,2
Alumno650,3,2,4
Alumno651,3,3,3
Alumno652,0,2,3
Alumno653,3,2,3
Alumno654,3,0,0
Alumno655,2,0,3
Alumno656,3,0,1
Alumno657,4,1,2
Alumno658,0,1,1
Alumno659,1,1,3
Alumno660,0,4,2
Alumno661,2,4,3
Alumno662,3,0,4
Alumno663,3,0,4
Alumno664,4,4,4
Alumno665,1,4,4
Alumno666,4,4,3
Alumno667,2,0,0
Alumno668,2,1,2
Alumno669,1,3,4
Alumno670,2,1,1
Alumno671,4,1,4
Alumno672,3,3,2
Alumno673,1,2,3
Alumno674,0,4,4
Alumno675,0,2,1
Alumno676,0,3,0
Alumno677,3,2,2
Alumno678,2,3,0
Alumno679,1,1,1
Alumno680,3,2,0
Alumno681,1,0,3
Alumno682,3,3,0
Alumno683,4,1,4
Alumno684,0,0,0
Alumno685,1,1,4
Alumno686,2,0,3
Alumno687,2,4,3
Alumno688,1,4,0
Alumno689,4,0,0
Alumno690,2,1,1
Alumno691,0,0,4
Alumno692,0,1,1
Alumno693,2,1,1
Alumno694,4,4,2
Alumno695,0,2,3
Alumno696,0,0,0
Alumno697,3,2,3
Alumno698,1,2,3
Alumno699,0,0,2
Alumno700,3,1,2
Alumno701,0,0,1
Alumno702,1,4,4
Alumno703,0,2,2
Alumno704,0,3,2
Alumno705,2,1,0
Alumno706,4,2,3
Alumno707,3,4,1
Alumno708,1,3,1
Alumno709,3,4,0
Alumno710,0,0,1
Alumno711,1,4,4
Alumno712,0,1,1
Alumno713,1,4,2
Alumno714,4,2,1
Alumno715,3,3,2
Alumno716,2,1,2
Alumno717,1,4,3
Alumno718,1,3,4
Alumno719,0,4,4
Alumno720,4,3,3
Alumno721,0,1,4
Alumno722,4,1,4
Alumno723,3,0,2
Alumno724,0,1,4
Alumno725,2,2,1
Alumno726,2,1,0
Alumno727,2,3,4
Alumno728,0,3,2
Alumno729,2,1,4
Alumno730,4,0,4
Alumno731,1,0,3
Alumno732,0,2,1
Alumno733,2,1,2
Alumno734,3,1,3
Alumno735,1,0,1
Alumno736,2,2,2
Alumno737,3,4,2
Alumno738,4,1,3
Alumno739,0,0,0
Alumno740,0,2,2
Alumno741,3,2,0
Alumno742,0,1,2
Alumno743,2,4,3
Alumno744,1,0,2
Alumno745,2,0,0
Alumno746,1,0,4
Alumno747,1,1,1
Alumno748,3,3,2
Alumno749,4,4,0
Alumno750,0,0,1
Alumno751,1,4,2
Alumno752,2,4,4
Alumno753,1,4,0
Alumno754,2,0,3
Alumno755,4,3,2
Alumno756,2,1,2
Alumno757,3,1,2
Alumno758,2,0,3
Alumno759,3,2,4
Alumno760,1,3,3
Alumno761,0,0,2
Alumno762,3,2,2
Alumno763,3,1,3
Alumno764,2,2,4
Alumno765,4,4,0
Alumno766,0,3,4
Alumno767,3,0,0
Alumno768,4,0,1
Alumno769,0,1,0
Alumno770,4,3,2
Alumno771,1,0,1
Alumno772,3,2,1
Alumno773,0,3,4
Alumno774,0,2,3
Alumno775,1,2,4
Alumno776,2,2,4
Alumno777,2,3,1
Alumno778,4,0,4
Alumno779,2,3,2
Alumno780,4,2,0
Alumno781,1,3,3
Alumno782,2,2,2
Alumno783,1,3,1
Alumno784,3,2,4
Alumno785,3,0,4
Alumno786,3,0,1
Alumno787,2,0,4
Alumno788,2,0,0
Alumno789,3,4,2
Alumno790,2,4,0
Alumno791,3,1,4
Alumno792,4,2,0
Alumno793,3,0,0
Alumno794,3,0,1
Alumno795,1,4,1
Alumno796,0,4,1
Alumno797,3,4,3
Alumno798,1,3,2
Alumno799,2,4,1
Alumno800,3,1,1
Alumno801,1,0,0
Alumno802,2,4,0
Alumno803,3,2,1
Alumno804,2,3,3
Alumno805,3,2,3
Alumno806,4,2,3
Alumno807,0,1,1
Alumno808,1,3,4
Alumno809,1,0,3
Alumno810,3,1,4
Alumno811,1,1,0
Alumno812,1,2,0
Alumno813,4,2,4
Alumno814,4,3,2
Alumno815,2,1,3
Alumno816,0,1,0
Alumno817,1,4,2
Alumno818,3,0,4
Alumno819,2,0,1
Alumno820,2,4,4
Alumno821,3,2,1
Alumno822,0,2,4
Alumno823,3,0,1
Alumno824,4,3,2
Alumno825,2,0,0
Alumno826,3,0,4
Alumno827,4,1,3
Alumno828,3,3,0
Alumno829,2,2,2
Alumno830,3,2,3
Alumno831,3,3,3
Alumno832,4,4,2
Alumno833,3,1,2
Alumno834,2,0,2
Alumno835,4,1,0
Alumno836,3,4,2
Alumno837,0,2,4
Alumno838,1,1,3
Alumno839,2,2,3
Alumno840,1,3,4
Alumno841,1,0,2
Alumno842,1,3,3
Alumno843,2,4,4
Alumno844,0,4,4
Alumno845,2,2,2
Alumno846,1,2,3
Alumno847,1,3,2
Alumno848,4,3,2
Alumno849,0,0,1
Alumno850,4,3,2
Alumno851,4,2,3
Alumno852,4,4,2
Alumno853,2,3,4
Alumno854,3,2,2
Alumno855,2,3,1
Alumno856,3,3,2
Alumno857,2,3,3
Alumno858,4,0,2
Alumno859,4,1,0
Alumno860,2,4,2
Alumno861,4,2,2
Alumno862,3,2,4
Alumno863,2,2,3
Alumno864,4,3,3
Alumno865,0,3,2
Alumno866,3,2,3
Alumno867,0,1,1
Alumno868,2,3,3
Alumno869,4,0,2
Alumno870,3,3,0
Alumno871,3,1,1
Alumno872,1,4,3
Alumno873,1,3,2
Alumno874,2,1,0
Alumno875,4,0,1
Alumno876,4,0,3
Alumno877,4,1,0
Alumno878,1,3,4
Alumno879,3,1,0
Alumno880,4,2,3
Alumno881,1,1,1
Alumno882,1,2,4
Alumno883,3,4,3
Alumno884,4,1,0
Alumno885,4,0,0
Alumno886,4,1,3
Alumno887,4,4,1
Alumno888,3,2,2
Alumno889,2,1,1
Alumno890,1,2,3
Alumno891,3,3,0
Alumno892,4,3,2
Alumno893,4,3,4
Alumno894,1,0,2
Alumno895,2,0,1
Alumno896,4,1,1
Alumno897,2,1,0
Alumno898,3,4,4
Alumno899,4,4,2
Alumno900,0,1,2
Alumno901,3,2,0
Alumno902,1,2,1
Alumno903,0,2,3
Alumno904,4,4,0
Alumno905,0,2,4
Alumno906,0,1,0
Alumno907,2,4,3
Alumno908,2,3,3
Alumno909,1,2,2
Alumno910,3,0,0
Alumno911,0,2,4
Alumno912,1,3,0
Alumno913,3,0,4
Alumno914,4,2,2
Alumno915,0,0,4
Alumno916,4,2,2
Alumno917,0,0,1
Alumno918,2,3,0
Alumno919,4,0,1
Alumno920,2,0,2
Alumno921,1,1,2
Alumno922,0,0,1
Alumno923,1,4,3
Alumno924,4,1,1
Alumno925,0,2,4
Alumno926,4,0,3
Alumno927,0,0,4
Alumno928,4,1,3
Alumno929,3,2,4
Alumno930,0,0,0
Alumno931,2,4,4
Alumno932,2,2,3
Alumno933,2,1,4
Alumno934,4,3,1
Alumno935,0,1,0
Alumno936,1,3,2
Alumno937,2,2,2
Alumno938,4,0,3
Alumno939,4,1,3
Alumno940,0,0,2
Alumno941,0,2,4
Alumno942,3,0,1
Alumno943,1,0,3
Alumno944,1,4,2
Alumno945,0,2,4
Alumno946,2,1,0
Alumno947,4,0,4
Alumno948,4,4,3
Alumno949,0,1,1
Alumno950,3,1,4
Alumno951,3,1,4
Alumno952,0,1,3
Alumno953,0,2,0
Alumno954,2,3,4
Alumno955,2,0,4
Alumno956,0,0,4
Alumno957,0,1,1
Alumno958,0,4,1
Alumno959,1,1,4
Alumno960,4,1,3
Alumno961,1,3,4
Alumno962,4,4,1
Alumno963,2,4,4
Alumno964,2,1,0
Alumno965,4,2,4
Alumno966,4,2,3
Alumno967,1,3,4
Alumno968,4,2,1
Alumno969,4,1,3
Alumno970,2,3,2
Alumno971,4,3,3
Alumno972,4,4,3
Alumno973,4,2,1
Alumno974,3,3,3
Alumno975,2,0,0
Alumno976,2,1,2
Alumno977,3,3,3
Alumno978,1,1,3
Alumno979,2,1,1
Alumno980,1,4,0
Alumno981,0,1,1
Alumno982,4,1,3
Alumno983,0,3,0
Alumno984,0,0,2
Alumno985,4,4,4
Alumno986,4,4,4
Alumno987,3,0,1
Alumno988,2,4,0
Alumno989,2,2,3
Alumno990,3,3,0
Alumno991,4,4,1
Alumno992,2,3,2
Alumno993,3,0,2
Alumno994,2,1,4
Alumno995,3,1,4
Alumno996,3,1,4
Alumno997,0,1,3
Alumno998,1,1,2
Alumno999,0,4,2
Alumno1000,4,1,2
Alumno1001,0,3,3
Alumno1002,0,3,0
Alumno1003,2,1,3
Alumno1004,2,2,4
Alumno1005,0,4,0
Alumno1006,0,4,4
Alumno1007,3,3,4
Alumno1008,2,3,4
Alumno1009,3,4,0
Alumno1010,4,1,2
Alumno1011,3,0,3
Alumno1012,2,2,0
Alumno1013,0,0,1
Alumno1014,1,3,2
Alumno1015,2,0,1
Alumno1016,3,2,2
Alumno1017,3,3,2
Alumno1018,2,0,0
Alumno1019,3,1,3
Alumno1020,0,1,2
Alumno1021,0,3,0
Alumno1022,3,1,1
Alumno1023,0,0,0
Alumno1024,0,3,0
Alumno1025,2,3,4
Alumno1026,2,3,4
Alumno1027,3,3,2
Alumno1028,1,4,3
Alumno1029,0,1,1
Alumno1030,3,3,0
Alumno1031,1,3,0
Alumno1032,4,0,1
Alumno1033,1,2,4
Alumno1034,4,3,2
Alumno1035,1,4,4
Alumno1036,1,2,2
Alumno1037,1,1,3
Alumno1038,1,1,2
Alumno1039,0,3,2
Alumno1040,2,4,2
Alumno1041,4,2,3
Alumno1042,1,3,2
Alumno1043,2,2,0
Alumno1044,1,3,3
Alumno1045,4,4,0
Alumno1046,1,0,0
Alumno1047,2,2,1
Alumno1048,3,2,2
Alumno1049,0,0,0
Alumno1050,2,2,2
Alumno1051,1,1,2
Alumno1052,4,3,1
Alumno1053,1,3,2
Alumno1054,0,3,0
Alumno1055,0,3,3
Alumno1056,0,1,3
Alumno1057,3,2,3
Alumno1058,2,0,2
Alumno1059,0,2,1
Alumno1060,1,3,4
Alumno1061,0,0,1
Alumno1062,0,3,1
Alumno1063,3,1,2
Alumno1064,4,0,0
Alumno1065,4,2,0
Alumno1066,2,2,4
Alumno1067,2,1,0
Alumno1068,4,3,2
Alumno1069,1,3,2
Alumno1070,4,3,2
Alumno1071,1,0,1
Alumno1072,2,4,2
Alumno1073,4,1,1
Alumno1074,2,3,0
Alumno1075,2,3,2
Alumno1076,4,4,4
Alumno1077,4,0,0
Alumno1078,1,3,3
Alumno1079,4,3,3
Alumno1080,4,0,0
Alumno1081,1,2,4
Alumno1082,0,1,0
Alumno1083,0,1,2
Alumno1084,3,3,4
Alumno1085,2,0,4
Alumno1086,0,0,1
Alumno1087,1,1,2
Alumno1088,4,2,2
Alumno1089,1,4,3
Alumno1090,0,0,1
Alumno1091,2,3,4
Alumno1092,0,0,0
Alumno1093,3,4,1
Alumno1094,4,1,4
Alumno1095,3,1,1
Alumno1096,3,1,4
Alumno1097,4,3,3
Alumno1098,0,2,2
Alumno1099,3,3,0
Alumno1100,1,3,3
Alumno1101,4,4,4
Alumno1102,1,0,3
Alumno1103,3,3,3
Alumno1104,4,0,2
Alumno1105,2,3,1
Alumno1106,3,0,2
Alumno1107,3,3,4
Alumno1108,1,3,1
Alumno1109,1,2,2
Alumno1110,3,4,3
Alumno1111,0,0,1
Alumno1112,4,1,3
Alumno1113,2,2,4
Alumno1114,2,2,1
Alumno1115,3,4,3
Alumno1116,0,1,0
Alumno1117,4,4,0
Alumno1118,3,0,1
Alumno1119,0,2,0
Alumno1120,1,2,4
Alumno1121,4,1,3
Alumno1122,1,1,2
Alumno1123,3,0,0
Alumno1124,2,0,4
Alumno1125,4,3,0
Alumno1126,4,2,1
Alumno1127,2,3,1
Alumno1128,0,2,4
Alumno1129,1,1,4
Alumno1130,0,0,1
Alumno1131,3,0,1
Alumno1132,0,0,1
Alumno1133,1,4,3
Alumno1134,0,3,0
Alumno1135,1,1,3
Alumno1136,0,4,4
Alumno1137,0,4,4
Alumno1138,0,1,2
Alumno1139,1,4,2
Alumno1140,1,4,1
Alumno1141,3,0,2
Alumno1142,4,1,1
Alumno1143,4,4,3
Alumno1144,4,2,1
Alumno1145,3,2,4
Alumno1146,2,1,3
Alumno1147,2,1,0
Alumno1148,3,2,3
Alumno1149,3,0,4
Alumno1150,2,1,2
